"Date","month","day","year","hour","Day.of.Week","weekday","Peakhour","temperature","prediction"
"12/2/2014",12,2,2014,11,2,1,1,37.04,"Above_Normal"
"12/2/2014",12,2,2014,12,2,1,1,37.04,"Above_Normal"
"12/2/2014",12,2,2014,13,2,1,1,37.04,"Above_Normal"
"12/2/2014",12,2,2014,14,2,1,1,37.04,"Above_Normal"
"12/2/2014",12,2,2014,15,2,1,1,37.22,"Optimal"
"12/2/2014",12,2,2014,16,2,1,1,35.96,"Optimal"
"12/2/2014",12,2,2014,17,2,1,1,35.96,"Optimal"
"12/2/2014",12,2,2014,18,2,1,1,36.68,"Optimal"
"12/2/2014",12,2,2014,19,2,1,0,37.04,"Optimal"
"12/2/2014",12,2,2014,20,2,1,0,37.67,"Optimal"
"12/2/2014",12,2,2014,21,2,1,0,39.02,"Optimal"
"12/2/2014",12,2,2014,22,2,1,0,39.32,"Optimal"
"12/2/2014",12,2,2014,23,2,1,0,41,"Optimal"
"12/3/2014",12,3,2014,0,3,1,0,42.89,"Optimal"
"12/3/2014",12,3,2014,1,3,1,0,43.82,"Optimal"
"12/3/2014",12,3,2014,2,3,1,0,44.96,"Optimal"
"12/3/2014",12,3,2014,3,3,1,0,44.78,"Optimal"
"12/3/2014",12,3,2014,4,3,1,0,45.14,"Optimal"
"12/3/2014",12,3,2014,5,3,1,0,45.23,"Optimal"
"12/3/2014",12,3,2014,6,3,1,1,37.58,"Optimal"
"12/3/2014",12,3,2014,7,3,1,1,37.22,"Above_Normal"
"12/3/2014",12,3,2014,8,3,1,1,37.94,"Above_Normal"
"12/3/2014",12,3,2014,9,3,1,1,39.02,"Above_Normal"
"12/3/2014",12,3,2014,10,3,1,1,40.1,"Above_Normal"
"12/3/2014",12,3,2014,11,3,1,1,44.06,"Above_Normal"
"12/3/2014",12,3,2014,12,3,1,1,46.31,"Above_Normal"
"12/3/2014",12,3,2014,13,3,1,1,50,"Above_Normal"
"12/3/2014",12,3,2014,14,3,1,1,51.08,"Above_Normal"
"12/3/2014",12,3,2014,15,3,1,1,51.44,"Optimal"
"12/3/2014",12,3,2014,16,3,1,1,50,"Optimal"
"12/3/2014",12,3,2014,17,3,1,1,50,"Optimal"
"12/3/2014",12,3,2014,18,3,1,1,50,"Optimal"
"12/3/2014",12,3,2014,19,3,1,0,49.46,"Optimal"
"12/3/2014",12,3,2014,20,3,1,0,48.02,"Optimal"
"12/3/2014",12,3,2014,21,3,1,0,42.98,"Optimal"
"12/3/2014",12,3,2014,22,3,1,0,42.08,"Optimal"
